bab_id,class_id,subject_id,bab_name,description
BM100,1,MA001,Bab 1: Bilangan Cacah 0 sampai 20,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM101,1,MA001,Bab 2: Penjumlahan Pengurangan Bilangan 0 sampai 20,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM102,1,MA001,Bab 3: Pengenalan Waktu dan Panjang,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM103,1,MA001,Bab 4: Bangun Ruang,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM104,1,MA001,Bab 5: Nilai Tempat dan Penggunaannya,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM105,1,MA001,Bab 6: Satuan Berat,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM106,1,MA001,Bab 7: Bangun Datar,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM200,2,MA001,Bab 1: Penjumlahan dan Pengurangan,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM201,2,MA001,"Bab 2: Pengukuran Waktu, Panjang, dan Berat","Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM202,2,MA001,Bab 3: Perkalian dan Pembagian,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM203,2,MA001,Bab 4: Bangun Datar Sederhana,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM300,3,MA001,Bab 1: Letak Bilangan pada Garis Bilangan,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM301,3,MA001,Bab 2: Operasi Hitung Penjumlahan & Pengurangan,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM302,3,MA001,Bab 3: Operasi Hitung Perkalian & Pembagian,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM303,3,MA001,Bab 4: Uang,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM304,3,MA001,"Bab 5: Pengukuran Waktu, Panjang, dan Berat","Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM305,3,MA001,"Bab 6: Hubungan antar Satuan Waktu, Panjang, dan Berat","Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM306,3,MA001,Bab 7: Pecahan,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM307,3,MA001,Bab 8: Jenis dan Besar Sudut,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM308,3,MA001,Bab 9: Keliling dan Luas Persegi dan Persegi Panjang,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM400,4,MA001,Bab 1: Kelipatan dan Faktor Bilangan,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM401,4,MA001,Bab 2: Operasi Hitung Bilangan,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM402,4,MA001,Bab 3: Pengukuran,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM403,4,MA001,Bab 4: Segitiga dan Jajargenjang,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM404,4,MA001,Bab 5: Bilangan Bulat,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM405,4,MA001,Bab 6: Pecahan,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM406,4,MA001,Bab 7: Bilangan Romawi,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM407,4,MA001,Bab 8: Bangun Ruang dan Bangun Datar,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM500,5,MA001,Bab 1: Operasi Hitung Bilangan Bulat,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM501,5,MA001,"Bab 2: Pengukuran Waktu, Sudut, Jarak, Kecepatan","Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
BM502,5,MA001,Bab 3: Luas Bangun Datar,"Lorem ipsum, dolor sit amet consectetur adipisicing elit. Sapiente pariatur dicta quasi fuga repudiandae perspiciatis odio facilis voluptate, ducimus rerum temporibus mollitia itaque magnam, illo eligendi? Ipsam officiis molestiae accusamus.Ratione soluta nam, reiciendis ipsa, fuga sequi officiis ipsam vel corrupti placeat, consectetur magni laboriosam ducimus architecto autem non totam sint voluptate beatae earum asperiores! Nulla odit laudantium sunt recusandae."
